feature,mean_shap,abs_mean_shap,std_shap,type
mordred_SpDiam_A,-0.0008937625,0.009986062,0.013813417,Mordred 2D
mordred_n6AHRing,-0.0016031711,0.009972686,0.015043133,Mordred 2D
mordred_ATSC3p,0.0007163111,0.009971663,0.01576838,Mordred 2D
mordred_GGI7,-0.000333975,0.009957699,0.012917587,Mordred 2D
mordred_ATSC8d,0.000757446,0.0099390205,0.0130903125,Mordred 2D
mordred_AATSC4Z,0.0009977842,0.0099333655,0.0136704575,Mordred 2D
mordred_GATS4Z,0.000608458,0.009892331,0.014543197,Mordred 2D
mordred_MATS8se,0.0012700829,0.009872664,0.01326615,Mordred 2D
mordred_GATS1se,0.00046951193,0.009840515,0.013537463,Mordred 2D
mordred_EState_VSA6,-0.00053765933,0.0098207975,0.01595073,Mordred 2D
mordred_ETA_beta_ns_d,-0.0007941127,0.009815031,0.013202996,Mordred 2D
mordred_AATS5i,0.0010072179,0.009719514,0.013193523,Mordred 2D
mordred_ATSC5se,0.0025083707,0.009686093,0.012902462,Mordred 2D
mordred_SlogP_VSA8,-0.0001942217,0.009651359,0.014803186,Mordred 2D
mordred_ATS8s,-0.00042283363,0.009628656,0.012241068,Mordred 2D
mordred_MATS2p,0.0003164377,0.009526737,0.012528969,Mordred 2D
mordred_AATS4se,0.0019373,0.009440605,0.012544733,Mordred 2D
mordred_GATS2dv,-0.00021265434,0.009427867,0.013282884,Mordred 2D
mordred_GATS2d,9.240465e-05,0.009383082,0.015623123,Mordred 2D
mordred_MATS3se,-0.00020445503,0.009367263,0.013274837,Mordred 2D
mordred_ATS2Z,0.0002480739,0.009326023,0.013244924,Mordred 2D
mordred_AATS0s,-8.417871e-05,0.009322972,0.013358253,Mordred 2D
mordred_AATSC8v,0.0012740648,0.009226189,0.012358777,Mordred 2D
mordred_AATS8v,0.00032354853,0.0092159035,0.011952566,Mordred 2D
rdkit_HallKierAlpha,0.0023596953,0.009172298,0.012736416,RDKit 2D
mordred_ATSC3s,0.001728645,0.009165263,0.011982218,Mordred 2D
mordred_ATSC2dv,0.0005544217,0.009062619,0.014002535,Mordred 2D
mordred_SaaaC,0.0010610989,0.009036864,0.01582355,Mordred 2D
mordred_MATS4s,-0.00057637726,0.009029883,0.013389382,Mordred 2D
mordred_mZagreb1,-0.0006436923,0.009023701,0.012963049,Mordred 2D
mordred_ATS1Z,-0.0004793315,0.009017985,0.013882671,Mordred 2D
mordred_SaasC,0.0010151144,0.008997854,0.01372823,Mordred 2D
